Timestamp,ParticipantID,QuestionID,QuestionText,Answer
2026-01-09T15:04:33.929Z,P_1767970855077_u9djzo2cb,q1,"Как часто вы работаете с системой тикетов?","Ежедневно"
2026-01-09T15:04:33.931Z,P_1767970855077_u9djzo2cb,q2,"Насколько вы доверяете рекомендациям ИИ в работе?","Полностью доверяю"
2026-01-09T15:04:33.931Z,P_1767970855077_u9djzo2cb,q3,"Как вы предпочитаете работать с заявками?","Самостоятельно решать все тикеты"
2026-01-09T15:04:33.932Z,P_1767970855077_u9djzo2cb,q4,"Какие трудности вы обычно испытываете при работе с тикетами?","test"
2026-01-09T15:04:33.932Z,P_1767970855077_u9djzo2cb,q5,"Что для вас является главным критерием качества решения тикета?","test"
2026-01-09T15:04:33.932Z,P_1767970855077_u9djzo2cb,q6,"Какой уровень стресса вы обычно испытываете на работе?","Очень низкий"
2026-01-10T17:59:01.476Z,P_1767970855077_u9djzo2cb,even,q1,"Как часто вы работаете с системой тикетов?","Ежедневно"
2026-01-10T17:59:01.477Z,P_1767970855077_u9djzo2cb,even,q2,"Насколько вы доверяете рекомендациям ИИ в работе?","Полностью доверяю"
2026-01-10T17:59:01.478Z,P_1767970855077_u9djzo2cb,even,q3,"Как вы предпочитаете работать с заявками?","Делегировать часть работы"
2026-01-10T17:59:01.478Z,P_1767970855077_u9djzo2cb,even,q4,"Какие трудности вы обычно испытываете при работе с тикетами?","Не указано"
2026-01-10T17:59:01.478Z,P_1767970855077_u9djzo2cb,even,q5,"Что для вас является главным критерием качества решения тикета?","Не указано"
2026-01-10T17:59:01.478Z,P_1767970855077_u9djzo2cb,even,q6,"Какой уровень стресса вы обычно испытываете на работе?","Очень низкий"
2026-01-10T18:00:03.397Z,P_1767970855077_u9djzo2cb,even,q1,"Как часто вы работаете с системой тикетов?","Редко"
2026-01-10T18:00:03.400Z,P_1767970855077_u9djzo2cb,even,q2,"Насколько вы доверяете рекомендациям ИИ в работе?","Доверяю; но проверяю"
2026-01-10T18:00:03.400Z,P_1767970855077_u9djzo2cb,even,q3,"Как вы предпочитаете работать с заявками?","Делегировать часть работы"
2026-01-10T18:00:03.400Z,P_1767970855077_u9djzo2cb,even,q4,"Какие трудности вы обычно испытываете при работе с тикетами?","Не указано"
2026-01-10T18:00:03.400Z,P_1767970855077_u9djzo2cb,even,q5,"Что для вас является главным критерием качества решения тикета?","Не указано"
2026-01-10T18:00:03.400Z,P_1767970855077_u9djzo2cb,even,q6,"Какой уровень стресса вы обычно испытываете на работе?","Очень низкий"
2026-01-14T10:18:30.217Z,P_1767970855077_u9djzo2cb,odd,0,pre_q4,"Do you have experience working in IT support or similar?","Not specified"
2026-01-14T10:18:30.218Z,P_1767970855077_u9djzo2cb,odd,0,pre_q5,"Are you familiar with modern AI Models such as ChatGPT?","Not specified"
2026-01-14T10:18:30.218Z,P_1767970855077_u9djzo2cb,odd,0,pre_q6,"How would you rate your level of proficiency with AI?","Not specified"
2026-01-14T10:18:30.218Z,P_1767970855077_u9djzo2cb,odd,0,pre_q7,"How would you rate your level of trust towards AI?","Not specified"
2026-01-14T10:18:30.218Z,P_1767970855077_u9djzo2cb,odd,0,pre_q8,"Do you prefer working alone or in a group?","Not specified"
2026-01-14T10:18:30.218Z,P_1767970855077_u9djzo2cb,odd,0,pre_q9,"Do you feel more confident when you work in a group or with AI?","Not specified"
2026-01-14T10:18:30.218Z,P_1767970855077_u9djzo2cb,odd,0,pre_q10,"If you required assistance for a certain task, which option would you choose?","Not specified"
2026-01-14T10:18:30.218Z,P_1767970855077_u9djzo2cb,odd,0,pre_q11,"What would you expect from a good IT support system?","Not specified"
2026-01-14T10:18:30.218Z,P_1767970855077_u9djzo2cb,odd,0,pre_q12,"What would you expect from a good AI Bot integrated in an IT support system?","Not specified"
2026-01-14T10:18:58.685Z,P_1767970855077_u9djzo2cb,odd,0,pre_q1,"What is your age group?","Not specified"
2026-01-14T10:18:58.686Z,P_1767970855077_u9djzo2cb,odd,0,pre_q2,"What is your current occupation?","Not specified"
2026-01-14T10:18:58.686Z,P_1767970855077_u9djzo2cb,odd,0,pre_q3,"Are you familiar with IT Service Management (ITSM)?","Not specified"
2026-01-14T10:18:58.686Z,P_1767970855077_u9djzo2cb,odd,0,pre_q4,"Do you have experience working in IT support or similar?","Not specified"
2026-01-14T10:18:58.686Z,P_1767970855077_u9djzo2cb,odd,0,pre_q5,"Are you familiar with modern AI Models such as ChatGPT?","Not specified"
2026-01-14T10:18:58.686Z,P_1767970855077_u9djzo2cb,odd,0,pre_q6,"How would you rate your level of proficiency with AI?","Not specified"
2026-01-14T10:18:58.686Z,P_1767970855077_u9djzo2cb,odd,0,pre_q7,"How would you rate your level of trust towards AI?","Not specified"
2026-01-14T10:18:58.686Z,P_1767970855077_u9djzo2cb,odd,0,pre_q8,"Do you prefer working alone or in a group?","Not specified"
2026-01-14T10:18:58.686Z,P_1767970855077_u9djzo2cb,odd,0,pre_q9,"Do you feel more confident when you work in a group or with AI?","Not specified"
2026-01-14T10:18:58.687Z,P_1767970855077_u9djzo2cb,odd,0,pre_q10,"If you required assistance for a certain task, which option would you choose?","Not specified"
2026-01-14T10:18:58.687Z,P_1767970855077_u9djzo2cb,odd,0,pre_q11,"What would you expect from a good IT support system?","Not specified"
2026-01-14T10:18:58.687Z,P_1767970855077_u9djzo2cb,odd,0,pre_q12,"What would you expect from a good AI Bot integrated in an IT support system?","Not specified"
2026-01-14T10:22:38.517Z,P_1767970855077_u9djzo2cb,even,0,pre_q1,"What is your age group?","Not specified"
2026-01-14T10:22:38.518Z,P_1767970855077_u9djzo2cb,even,0,pre_q2,"What is your current occupation?","Not specified"
2026-01-14T10:22:38.518Z,P_1767970855077_u9djzo2cb,even,0,pre_q3,"Are you familiar with IT Service Management (ITSM)?","Not specified"
2026-01-14T10:22:38.518Z,P_1767970855077_u9djzo2cb,even,0,pre_q4,"Do you have experience working in IT support or similar?","Not specified"
2026-01-14T10:22:38.519Z,P_1767970855077_u9djzo2cb,even,0,pre_q5,"Are you familiar with modern AI Models such as ChatGPT?","Not specified"
2026-01-14T10:22:38.519Z,P_1767970855077_u9djzo2cb,even,0,pre_q6,"How would you rate your level of proficiency with AI?","Not specified"
2026-01-14T10:22:38.519Z,P_1767970855077_u9djzo2cb,even,0,pre_q7,"How would you rate your level of trust towards AI?","Not specified"
2026-01-14T10:22:38.519Z,P_1767970855077_u9djzo2cb,even,0,pre_q8,"Do you prefer working alone or in a group?","Not specified"
2026-01-14T10:22:38.520Z,P_1767970855077_u9djzo2cb,even,0,pre_q9,"Do you feel more confident when you work in a group or with AI?","Not specified"
2026-01-14T10:22:38.520Z,P_1767970855077_u9djzo2cb,even,0,pre_q10,"If you required assistance for a certain task, which option would you choose?","Not specified"
2026-01-14T10:22:38.520Z,P_1767970855077_u9djzo2cb,even,0,pre_q11,"What would you expect from a good IT support system?","Not specified"
2026-01-14T10:22:38.520Z,P_1767970855077_u9djzo2cb,even,0,pre_q12,"What would you expect from a good AI Bot integrated in an IT support system?","Not specified"
2026-01-30T12:34:08.606Z,P_1767970855077_u9djzo2cb,even,0,pre_q1,"What is your age group?","Not specified"
2026-01-30T12:34:08.608Z,P_1767970855077_u9djzo2cb,even,0,pre_q2,"What is your current occupation?","Not specified"
2026-01-30T12:34:08.608Z,P_1767970855077_u9djzo2cb,even,0,pre_q3,"Are you familiar with IT Service Management (ITSM)?","Not specified"
2026-01-30T12:34:08.608Z,P_1767970855077_u9djzo2cb,even,0,pre_q4,"Do you have experience working in IT support or similar?","Not specified"
2026-01-30T12:34:08.609Z,P_1767970855077_u9djzo2cb,even,0,pre_q5,"Are you familiar with modern AI Models such as ChatGPT?","Not specified"
2026-01-30T12:34:08.609Z,P_1767970855077_u9djzo2cb,even,0,pre_q6,"How would you rate your level of proficiency with AI?","Not specified"
2026-01-30T12:34:08.609Z,P_1767970855077_u9djzo2cb,even,0,pre_q7,"How would you rate your level of trust towards AI?","Not specified"
2026-01-30T12:34:08.609Z,P_1767970855077_u9djzo2cb,even,0,pre_q8,"Do you prefer working alone or in a group?","Not specified"
2026-01-30T12:34:08.609Z,P_1767970855077_u9djzo2cb,even,0,pre_q9,"Do you feel more confident when you work in a group or with AI?","Not specified"
2026-01-30T12:34:08.609Z,P_1767970855077_u9djzo2cb,even,0,pre_q10,"If you required assistance for a certain task, which option would you choose?","Not specified"
2026-01-30T12:34:08.610Z,P_1767970855077_u9djzo2cb,even,0,pre_q11,"What would you expect from a good IT support system?","Not specified"
2026-01-30T12:34:08.610Z,P_1767970855077_u9djzo2cb,even,0,pre_q12,"What would you expect from a good AI Bot integrated in an IT support system?","Not specified"
2026-01-30T12:34:12.906Z,P_1767970855077_u9djzo2cb,odd,0,pre_q1,"What is your age group?","Not specified"
2026-01-30T12:34:12.906Z,P_1767970855077_u9djzo2cb,odd,0,pre_q2,"What is your current occupation?","Not specified"
2026-01-30T12:34:12.907Z,P_1767970855077_u9djzo2cb,odd,0,pre_q3,"Are you familiar with IT Service Management (ITSM)?","Not specified"
2026-01-30T12:34:12.907Z,P_1767970855077_u9djzo2cb,odd,0,pre_q4,"Do you have experience working in IT support or similar?","Not specified"
2026-01-30T12:34:12.907Z,P_1767970855077_u9djzo2cb,odd,0,pre_q5,"Are you familiar with modern AI Models such as ChatGPT?","Not specified"
2026-01-30T12:34:12.907Z,P_1767970855077_u9djzo2cb,odd,0,pre_q6,"How would you rate your level of proficiency with AI?","Not specified"
2026-01-30T12:34:12.908Z,P_1767970855077_u9djzo2cb,odd,0,pre_q7,"How would you rate your level of trust towards AI?","Not specified"
2026-01-30T12:34:12.908Z,P_1767970855077_u9djzo2cb,odd,0,pre_q8,"Do you prefer working alone or in a group?","Not specified"
2026-01-30T12:34:12.908Z,P_1767970855077_u9djzo2cb,odd,0,pre_q9,"Do you feel more confident when you work in a group or with AI?","Not specified"
2026-01-30T12:34:12.908Z,P_1767970855077_u9djzo2cb,odd,0,pre_q10,"If you required assistance for a certain task, which option would you choose?","Not specified"
2026-01-30T12:34:12.908Z,P_1767970855077_u9djzo2cb,odd,0,pre_q11,"What would you expect from a good IT support system?","Not specified"
2026-01-30T12:34:12.909Z,P_1767970855077_u9djzo2cb,odd,0,pre_q12,"What would you expect from a good AI Bot integrated in an IT support system?","Not specified"
2026-01-30T12:52:01.608Z,P_1767970855077_u9djzo2cb,even,0,pre_q1,"What is your age group?","Not specified"
2026-01-30T12:52:01.608Z,P_1767970855077_u9djzo2cb,even,0,pre_q2,"What is your current occupation?","Not specified"
2026-01-30T12:52:01.609Z,P_1767970855077_u9djzo2cb,even,0,pre_q3,"Are you familiar with IT Service Management (ITSM)?","Not specified"
2026-01-30T12:52:01.609Z,P_1767970855077_u9djzo2cb,even,0,pre_q4,"Do you have experience working in IT support or similar?","Not specified"
2026-01-30T12:52:01.609Z,P_1767970855077_u9djzo2cb,even,0,pre_q5,"Are you familiar with modern AI Models such as ChatGPT?","Not specified"
2026-01-30T12:52:01.609Z,P_1767970855077_u9djzo2cb,even,0,pre_q6,"How would you rate your level of proficiency with AI?","Not specified"
2026-01-30T12:52:01.609Z,P_1767970855077_u9djzo2cb,even,0,pre_q7,"How would you rate your level of trust towards AI?","Not specified"
2026-01-30T12:52:01.609Z,P_1767970855077_u9djzo2cb,even,0,pre_q8,"Do you prefer working alone or in a group?","Not specified"
2026-01-30T12:52:01.610Z,P_1767970855077_u9djzo2cb,even,0,pre_q9,"Do you feel more confident when you work in a group or with AI?","Not specified"
2026-01-30T12:52:01.610Z,P_1767970855077_u9djzo2cb,even,0,pre_q10,"If you required assistance for a certain task, which option would you choose?","Not specified"
2026-01-30T12:52:01.610Z,P_1767970855077_u9djzo2cb,even,0,pre_q11,"What would you expect from a good IT support system?","Not specified"
2026-01-30T12:52:01.610Z,P_1767970855077_u9djzo2cb,even,0,pre_q12,"What would you expect from a good AI Bot integrated in an IT support system?","Not specified"
2026-01-30T12:52:15.747Z,P_1767970855077_u9djzo2cb,even,0,pre_q1,"What is your age group?","Not specified"
2026-01-30T12:52:15.748Z,P_1767970855077_u9djzo2cb,even,0,pre_q2,"What is your current occupation?","Not specified"
2026-01-30T12:52:15.748Z,P_1767970855077_u9djzo2cb,even,0,pre_q3,"Are you familiar with IT Service Management (ITSM)?","Not specified"
2026-01-30T12:52:15.748Z,P_1767970855077_u9djzo2cb,even,0,pre_q4,"Do you have experience working in IT support or similar?","Not specified"
2026-01-30T12:52:15.749Z,P_1767970855077_u9djzo2cb,even,0,pre_q5,"Are you familiar with modern AI Models such as ChatGPT?","Not specified"
2026-01-30T12:52:15.749Z,P_1767970855077_u9djzo2cb,even,0,pre_q6,"How would you rate your level of proficiency with AI?","Not specified"
2026-01-30T12:52:15.749Z,P_1767970855077_u9djzo2cb,even,0,pre_q7,"How would you rate your level of trust towards AI?","Not specified"
2026-01-30T12:52:15.749Z,P_1767970855077_u9djzo2cb,even,0,pre_q8,"Do you prefer working alone or in a group?","Not specified"
2026-01-30T12:52:15.750Z,P_1767970855077_u9djzo2cb,even,0,pre_q9,"Do you feel more confident when you work in a group or with AI?","Not specified"
2026-01-30T12:52:15.750Z,P_1767970855077_u9djzo2cb,even,0,pre_q10,"If you required assistance for a certain task, which option would you choose?","Not specified"
2026-01-30T12:52:15.750Z,P_1767970855077_u9djzo2cb,even,0,pre_q11,"What would you expect from a good IT support system?","Not specified"
2026-01-30T12:52:15.750Z,P_1767970855077_u9djzo2cb,even,0,pre_q12,"What would you expect from a good AI Bot integrated in an IT support system?","Not specified"
2026-01-30T12:54:44.822Z,P_1767970855077_u9djzo2cb,odd,0,pre_q1,"What is your age group?","Not specified"
2026-01-30T12:54:44.823Z,P_1767970855077_u9djzo2cb,odd,0,pre_q2,"What is your current occupation?","Not specified"
2026-01-30T12:54:44.823Z,P_1767970855077_u9djzo2cb,odd,0,pre_q3,"Are you familiar with IT Service Management (ITSM)?","Not specified"
2026-01-30T12:54:44.823Z,P_1767970855077_u9djzo2cb,odd,0,pre_q4,"Do you have experience working in IT support or similar?","Not specified"
2026-01-30T12:54:44.823Z,P_1767970855077_u9djzo2cb,odd,0,pre_q5,"Are you familiar with modern AI Models such as ChatGPT?","Not specified"
2026-01-30T12:54:44.823Z,P_1767970855077_u9djzo2cb,odd,0,pre_q6,"How would you rate your level of proficiency with AI?","Not specified"
2026-01-30T12:54:44.823Z,P_1767970855077_u9djzo2cb,odd,0,pre_q7,"How would you rate your level of trust towards AI?","Not specified"
2026-01-30T12:54:44.824Z,P_1767970855077_u9djzo2cb,odd,0,pre_q8,"Do you prefer working alone or in a group?","Not specified"
2026-01-30T12:54:44.824Z,P_1767970855077_u9djzo2cb,odd,0,pre_q9,"Do you feel more confident when you work in a group or with AI?","Not specified"
2026-01-30T12:54:44.824Z,P_1767970855077_u9djzo2cb,odd,0,pre_q10,"If you required assistance for a certain task, which option would you choose?","Not specified"
2026-01-30T12:54:44.824Z,P_1767970855077_u9djzo2cb,odd,0,pre_q11,"What would you expect from a good IT support system?","Not specified"
2026-01-30T12:54:44.824Z,P_1767970855077_u9djzo2cb,odd,0,pre_q12,"What would you expect from a good AI Bot integrated in an IT support system?","Not specified"
2026-01-30T13:35:14.880Z,P_1767970855077_u9djzo2cb,odd,0,pre_q1,"What is your age group?","Not specified"
2026-01-30T13:35:14.880Z,P_1767970855077_u9djzo2cb,odd,0,pre_q2,"What is your current occupation?","Not specified"
2026-01-30T13:35:14.880Z,P_1767970855077_u9djzo2cb,odd,0,pre_q3,"Are you familiar with IT Service Management (ITSM)?","Not specified"
2026-01-30T13:35:14.881Z,P_1767970855077_u9djzo2cb,odd,0,pre_q4,"Do you have experience working in IT support or similar?","Not specified"
2026-01-30T13:35:14.881Z,P_1767970855077_u9djzo2cb,odd,0,pre_q5,"Are you familiar with modern AI Models such as ChatGPT?","Not specified"
2026-01-30T13:35:14.881Z,P_1767970855077_u9djzo2cb,odd,0,pre_q6,"How would you rate your level of proficiency with AI?","Not specified"
2026-01-30T13:35:14.881Z,P_1767970855077_u9djzo2cb,odd,0,pre_q7,"How would you rate your level of trust towards AI?","Not specified"
2026-01-30T13:35:14.881Z,P_1767970855077_u9djzo2cb,odd,0,pre_q8,"Do you prefer working alone or in a group?","Not specified"
2026-01-30T13:35:14.881Z,P_1767970855077_u9djzo2cb,odd,0,pre_q9,"Do you feel more confident when you work in a group or with AI?","Not specified"
2026-01-30T13:35:14.881Z,P_1767970855077_u9djzo2cb,odd,0,pre_q10,"If you required assistance for a certain task, which option would you choose?","Not specified"
2026-01-30T13:35:14.882Z,P_1767970855077_u9djzo2cb,odd,0,pre_q11,"What would you expect from a good IT support system?","Not specified"
2026-01-30T13:35:14.882Z,P_1767970855077_u9djzo2cb,odd,0,pre_q12,"What would you expect from a good AI Bot integrated in an IT support system?","Not specified"
2026-01-30T13:58:07.598Z,P_1767970855077_u9djzo2cb,odd,0,pre_q1,"What is your age group?","Not specified"
2026-01-30T13:58:07.600Z,P_1767970855077_u9djzo2cb,odd,0,pre_q2,"What is your current occupation?","Not specified"
2026-01-30T13:58:07.601Z,P_1767970855077_u9djzo2cb,odd,0,pre_q3,"Are you familiar with IT Service Management (ITSM)?","Not specified"
2026-01-30T13:58:07.601Z,P_1767970855077_u9djzo2cb,odd,0,pre_q4,"Do you have experience working in IT support or similar?","Not specified"
2026-01-30T13:58:07.601Z,P_1767970855077_u9djzo2cb,odd,0,pre_q5,"Are you familiar with modern AI Models such as ChatGPT?","Not specified"
2026-01-30T13:58:07.601Z,P_1767970855077_u9djzo2cb,odd,0,pre_q6,"How would you rate your level of proficiency with AI?","Not specified"
2026-01-30T13:58:07.601Z,P_1767970855077_u9djzo2cb,odd,0,pre_q7,"How would you rate your level of trust towards AI?","Not specified"
2026-01-30T13:58:07.602Z,P_1767970855077_u9djzo2cb,odd,0,pre_q8,"Do you prefer working alone or in a group?","Not specified"
2026-01-30T13:58:07.602Z,P_1767970855077_u9djzo2cb,odd,0,pre_q9,"Do you feel more confident when you work in a group or with AI?","Not specified"
2026-01-30T13:58:07.602Z,P_1767970855077_u9djzo2cb,odd,0,pre_q10,"If you required assistance for a certain task, which option would you choose?","Not specified"
2026-01-30T13:58:07.603Z,P_1767970855077_u9djzo2cb,odd,0,pre_q11,"What would you expect from a good IT support system?","Not specified"
2026-01-30T13:58:07.603Z,P_1767970855077_u9djzo2cb,odd,0,pre_q12,"What would you expect from a good AI Bot integrated in an IT support system?","Not specified"
2026-01-30T13:58:12.404Z,P_1767970855077_u9djzo2cb,odd,0,pre_q1,"What is your age group?","Not specified"
2026-01-30T13:58:12.405Z,P_1767970855077_u9djzo2cb,odd,0,pre_q2,"What is your current occupation?","Not specified"
2026-01-30T13:58:12.406Z,P_1767970855077_u9djzo2cb,odd,0,pre_q3,"Are you familiar with IT Service Management (ITSM)?","Not specified"
2026-01-30T13:58:12.406Z,P_1767970855077_u9djzo2cb,odd,0,pre_q4,"Do you have experience working in IT support or similar?","Not specified"
2026-01-30T13:58:12.406Z,P_1767970855077_u9djzo2cb,odd,0,pre_q5,"Are you familiar with modern AI Models such as ChatGPT?","Not specified"
2026-01-30T13:58:12.406Z,P_1767970855077_u9djzo2cb,odd,0,pre_q6,"How would you rate your level of proficiency with AI?","Not specified"
2026-01-30T13:58:12.406Z,P_1767970855077_u9djzo2cb,odd,0,pre_q7,"How would you rate your level of trust towards AI?","Not specified"
2026-01-30T13:58:12.407Z,P_1767970855077_u9djzo2cb,odd,0,pre_q8,"Do you prefer working alone or in a group?","Not specified"
2026-01-30T13:58:12.407Z,P_1767970855077_u9djzo2cb,odd,0,pre_q9,"Do you feel more confident when you work in a group or with AI?","Not specified"
2026-01-30T13:58:12.407Z,P_1767970855077_u9djzo2cb,odd,0,pre_q10,"If you required assistance for a certain task, which option would you choose?","Not specified"
2026-01-30T13:58:12.407Z,P_1767970855077_u9djzo2cb,odd,0,pre_q11,"What would you expect from a good IT support system?","Not specified"
2026-01-30T13:58:12.407Z,P_1767970855077_u9djzo2cb,odd,0,pre_q12,"What would you expect from a good AI Bot integrated in an IT support system?","Not specified"
2026-01-30T13:58:19.907Z,P_1767970855077_u9djzo2cb,even,0,pre_q1,"What is your age group?","Not specified"
2026-01-30T13:58:19.907Z,P_1767970855077_u9djzo2cb,even,0,pre_q2,"What is your current occupation?","Not specified"
2026-01-30T13:58:19.907Z,P_1767970855077_u9djzo2cb,even,0,pre_q3,"Are you familiar with IT Service Management (ITSM)?","Not specified"
2026-01-30T13:58:19.907Z,P_1767970855077_u9djzo2cb,even,0,pre_q4,"Do you have experience working in IT support or similar?","Not specified"
2026-01-30T13:58:19.908Z,P_1767970855077_u9djzo2cb,even,0,pre_q5,"Are you familiar with modern AI Models such as ChatGPT?","Not specified"
2026-01-30T13:58:19.908Z,P_1767970855077_u9djzo2cb,even,0,pre_q6,"How would you rate your level of proficiency with AI?","Not specified"
2026-01-30T13:58:19.908Z,P_1767970855077_u9djzo2cb,even,0,pre_q7,"How would you rate your level of trust towards AI?","Not specified"
2026-01-30T13:58:19.908Z,P_1767970855077_u9djzo2cb,even,0,pre_q8,"Do you prefer working alone or in a group?","Not specified"
2026-01-30T13:58:19.908Z,P_1767970855077_u9djzo2cb,even,0,pre_q9,"Do you feel more confident when you work in a group or with AI?","Not specified"
2026-01-30T13:58:19.908Z,P_1767970855077_u9djzo2cb,even,0,pre_q10,"If you required assistance for a certain task, which option would you choose?","Not specified"
2026-01-30T13:58:19.908Z,P_1767970855077_u9djzo2cb,even,0,pre_q11,"What would you expect from a good IT support system?","Not specified"
2026-01-30T13:58:19.908Z,P_1767970855077_u9djzo2cb,even,0,pre_q12,"What would you expect from a good AI Bot integrated in an IT support system?","Not specified"
2026-01-30T13:58:38.547Z,P_1767970855077_u9djzo2cb,even,0,pre_q1,"What is your age group?","Not specified"
2026-01-30T13:58:38.548Z,P_1767970855077_u9djzo2cb,even,0,pre_q2,"What is your current occupation?","Not specified"
2026-01-30T13:58:38.548Z,P_1767970855077_u9djzo2cb,even,0,pre_q3,"Are you familiar with IT Service Management (ITSM)?","Not specified"
2026-01-30T13:58:38.548Z,P_1767970855077_u9djzo2cb,even,0,pre_q4,"Do you have experience working in IT support or similar?","Not specified"
2026-01-30T13:58:38.548Z,P_1767970855077_u9djzo2cb,even,0,pre_q5,"Are you familiar with modern AI Models such as ChatGPT?","Not specified"
2026-01-30T13:58:38.548Z,P_1767970855077_u9djzo2cb,even,0,pre_q6,"How would you rate your level of proficiency with AI?","Not specified"
2026-01-30T13:58:38.549Z,P_1767970855077_u9djzo2cb,even,0,pre_q7,"How would you rate your level of trust towards AI?","Not specified"
2026-01-30T13:58:38.549Z,P_1767970855077_u9djzo2cb,even,0,pre_q8,"Do you prefer working alone or in a group?","Not specified"
2026-01-30T13:58:38.549Z,P_1767970855077_u9djzo2cb,even,0,pre_q9,"Do you feel more confident when you work in a group or with AI?","Not specified"
2026-01-30T13:58:38.549Z,P_1767970855077_u9djzo2cb,even,0,pre_q10,"If you required assistance for a certain task, which option would you choose?","Not specified"
2026-01-30T13:58:38.549Z,P_1767970855077_u9djzo2cb,even,0,pre_q11,"What would you expect from a good IT support system?","Not specified"
2026-01-30T13:58:38.549Z,P_1767970855077_u9djzo2cb,even,0,pre_q12,"What would you expect from a good AI Bot integrated in an IT support system?","Not specified"
2026-01-30T13:58:45.198Z,P_1767970855077_u9djzo2cb,even,0,pre_q1,"What is your age group?","Not specified"
2026-01-30T13:58:45.200Z,P_1767970855077_u9djzo2cb,even,0,pre_q2,"What is your current occupation?","Not specified"
2026-01-30T13:58:45.200Z,P_1767970855077_u9djzo2cb,even,0,pre_q3,"Are you familiar with IT Service Management (ITSM)?","Not specified"
2026-01-30T13:58:45.200Z,P_1767970855077_u9djzo2cb,even,0,pre_q4,"Do you have experience working in IT support or similar?","Not specified"
2026-01-30T13:58:45.200Z,P_1767970855077_u9djzo2cb,even,0,pre_q5,"Are you familiar with modern AI Models such as ChatGPT?","Not specified"
2026-01-30T13:58:45.201Z,P_1767970855077_u9djzo2cb,even,0,pre_q6,"How would you rate your level of proficiency with AI?","Not specified"
2026-01-30T13:58:45.201Z,P_1767970855077_u9djzo2cb,even,0,pre_q7,"How would you rate your level of trust towards AI?","Not specified"
2026-01-30T13:58:45.201Z,P_1767970855077_u9djzo2cb,even,0,pre_q8,"Do you prefer working alone or in a group?","Not specified"
2026-01-30T13:58:45.201Z,P_1767970855077_u9djzo2cb,even,0,pre_q9,"Do you feel more confident when you work in a group or with AI?","Not specified"
2026-01-30T13:58:45.201Z,P_1767970855077_u9djzo2cb,even,0,pre_q10,"If you required assistance for a certain task, which option would you choose?","Not specified"
2026-01-30T13:58:45.202Z,P_1767970855077_u9djzo2cb,even,0,pre_q11,"What would you expect from a good IT support system?","Not specified"
2026-01-30T13:58:45.202Z,P_1767970855077_u9djzo2cb,even,0,pre_q12,"What would you expect from a good AI Bot integrated in an IT support system?","Not specified"
2026-01-30T13:58:47.859Z,P_1767970855077_u9djzo2cb,even,0,pre_q1,"What is your age group?","Not specified"
2026-01-30T13:58:47.860Z,P_1767970855077_u9djzo2cb,even,0,pre_q2,"What is your current occupation?","Not specified"
2026-01-30T13:58:47.860Z,P_1767970855077_u9djzo2cb,even,0,pre_q3,"Are you familiar with IT Service Management (ITSM)?","Not specified"
2026-01-30T13:58:47.860Z,P_1767970855077_u9djzo2cb,even,0,pre_q4,"Do you have experience working in IT support or similar?","Not specified"
2026-01-30T13:58:47.861Z,P_1767970855077_u9djzo2cb,even,0,pre_q5,"Are you familiar with modern AI Models such as ChatGPT?","Not specified"
2026-01-30T13:58:47.861Z,P_1767970855077_u9djzo2cb,even,0,pre_q6,"How would you rate your level of proficiency with AI?","Not specified"
2026-01-30T13:58:47.861Z,P_1767970855077_u9djzo2cb,even,0,pre_q7,"How would you rate your level of trust towards AI?","Not specified"
2026-01-30T13:58:47.861Z,P_1767970855077_u9djzo2cb,even,0,pre_q8,"Do you prefer working alone or in a group?","Not specified"
2026-01-30T13:58:47.862Z,P_1767970855077_u9djzo2cb,even,0,pre_q9,"Do you feel more confident when you work in a group or with AI?","Not specified"
2026-01-30T13:58:47.862Z,P_1767970855077_u9djzo2cb,even,0,pre_q10,"If you required assistance for a certain task, which option would you choose?","Not specified"
2026-01-30T13:58:47.862Z,P_1767970855077_u9djzo2cb,even,0,pre_q11,"What would you expect from a good IT support system?","Not specified"
2026-01-30T13:58:47.862Z,P_1767970855077_u9djzo2cb,even,0,pre_q12,"What would you expect from a good AI Bot integrated in an IT support system?","Not specified"
2026-01-30T13:58:57.809Z,P_1767970855077_u9djzo2cb,even,0,pre_q1,"What is your age group?","Not specified"
2026-01-30T13:58:57.810Z,P_1767970855077_u9djzo2cb,even,0,pre_q2,"What is your current occupation?","Not specified"
2026-01-30T13:58:57.810Z,P_1767970855077_u9djzo2cb,even,0,pre_q3,"Are you familiar with IT Service Management (ITSM)?","Not specified"
2026-01-30T13:58:57.810Z,P_1767970855077_u9djzo2cb,even,0,pre_q4,"Do you have experience working in IT support or similar?","Not specified"
2026-01-30T13:58:57.811Z,P_1767970855077_u9djzo2cb,even,0,pre_q5,"Are you familiar with modern AI Models such as ChatGPT?","Not specified"
2026-01-30T13:58:57.811Z,P_1767970855077_u9djzo2cb,even,0,pre_q6,"How would you rate your level of proficiency with AI?","Not specified"
2026-01-30T13:58:57.811Z,P_1767970855077_u9djzo2cb,even,0,pre_q7,"How would you rate your level of trust towards AI?","Not specified"
2026-01-30T13:58:57.811Z,P_1767970855077_u9djzo2cb,even,0,pre_q8,"Do you prefer working alone or in a group?","Not specified"
2026-01-30T13:58:57.811Z,P_1767970855077_u9djzo2cb,even,0,pre_q9,"Do you feel more confident when you work in a group or with AI?","Not specified"
